"News_Title","AI_Prediction","AI_Confidence","Official_Label"
"5 Challenges Apple's New CEO John Ternus Will Face","Neutral","0.9139","Neutral"
"Dell Technologies vs. Apple: Which AI Stock is a Better Buy?","Neutral","0.8883","Somewhat-Bullish"
"Penn Davis Mcfarland Trims Apple Inc Stake by 2,623 Shares","Neutral","0.8346","Somewhat-Bullish"
"Slide insurance CEO Lucas sells $2.3m in SLDE shares By Investing.com","Neutral","0.9496","Somewhat-Bullish"
"Tim Cook Steps Down from Apple CEO Role","Neutral","0.5464","Neutral"
"Nuburu co-CEO Zamboni acquires $1.5m in stock indirectly","Neutral","0.9274","Neutral"
"Tim Cook Regrets Maps Flub, Sees Apple Watch as His Proudest Work","Neutral","0.8946","Neutral"
"How Tim Cook set up Apple’s enterprise play","Neutral","0.9321","Somewhat-Bullish"
"Is Slowing Services Growth and Hardware Bottleneck a Problem for Apple Inc. (AAPL)?","Negative","0.9132","Somewhat-Bearish"
"Microsoft Tests Mythos to Identify and Mitigate Vulnerabilities","Neutral","0.856","Somewhat-Bullish"
"Goldman Sachs sells QVC group stock worth $5,081","Neutral","0.931","Somewhat-Bullish"
"Earnings call transcript: IBM Q1 2026 beats earnings expectations","Positive","0.7971","Bullish"
"IBM Q1 2026 Earnings Call: Complete Transcript","Neutral","0.9116","Bullish"
"Rambus launches SOCAMM2 chipset for AI server memory modules","Neutral","0.8088","Somewhat-Bullish"
"Nuburu co-CEO Zamboni acquires $1.5m in stock indirectly","Neutral","0.9274","Neutral"
"Cantor Fitzgerald Reiterates an Overweight Rating on Riot Platforms (RIOT) on Global AI Proliferation","Neutral","0.9057","Somewhat-Bullish"
"Jensen Huang Says 'Not One Company' Can Match NVIDIA's Performance Per Dollar. Here's What Investors Should Know","Neutral","0.9048","Somewhat-Bullish"
"IBM RELEASES FIRST-QUARTER RESULTS","Neutral","0.8678","Somewhat-Bullish"
"Arista Networks Inc Stock (ANET) Closed Up by 3.04% on Apr 22: Key Drivers Unveiled","Positive","0.8883","Bullish"
"Nokia Oyj Stock (NOK) Closed Down by 5.53% on Apr 22: Key Drivers Unveiled","Negative","0.9669","Somewhat-Bullish"
"Barinthus Biotherapeutics appoints Douglas Swirsky as CFO","Neutral","0.9347","Neutral"
"Electric vehicle test, cancer support part of ArcBest ‘Impact Report’","Neutral","0.9387","Somewhat-Bullish"
"Penn Davis Mcfarland Cuts Alphabet Class A Stake Sharply","Negative","0.6761","Somewhat-Bearish"
"Penn Davis Mcfarland trims Alphabet Class C stake","Neutral","0.8419","Somewhat-Bearish"
"Manitou Investment Management Trims Alphabet Class A Stake","Negative","0.4859","Neutral"
"Today’s Market Recap: Nasdaq Hits Record High as Tech Rallies on AI Growth; Tesla Q1 Beats Estimates Amid Spending Surge","Positive","0.9349","Bullish"
"Slide insurance CEO Lucas sells $2.3m in SLDE shares By Investing.com","Neutral","0.9496","Somewhat-Bullish"
"Tesla's Musk says company plans to use Intel's 14A process for Terafab","Neutral","0.8673","Somewhat-Bullish"
"NIO (NYSE:NIO) Trading Up 1% - Here's What Happened","Neutral","0.6376","Neutral"
"Is General Motors (GM) Still Attractive After A 77% One Year Share Price Surge?","Positive","0.7908","Somewhat-Bullish"
"Q&A: MIT's top 10 AI trends to watch this year","Neutral","0.8762","Neutral"
"Earnings call transcript: IBM Q1 2026 beats earnings expectations","Positive","0.7971","Bullish"
"What Truist Financial (TFC)'s Strong Q1 Earnings and New Debt Issuance Mean For Shareholders","Neutral","0.8753","Neutral"
"Alaska Airlines, Hawaiian Airlines transition to shared passenger service system to deliver a more seamless guest experience","Neutral","0.6322","Bullish"
"Microsoft to retire Outlook Lite: What users need to do next","Neutral","0.9145","Neutral"
"Microsoft to retire Outlook Lite: What users need to do next","Neutral","0.9145","Neutral"
"Cantor Fitzgerald Reiterates an Overweight Rating on Riot Platforms (RIOT) on Global AI Proliferation","Neutral","0.9057","Somewhat-Bullish"
"10 Best Consumer Staples Penny Stocks to Buy Now","Neutral","0.8807","Somewhat-Bullish"
"Microsoft to retire Outlook Lite: What users need to do next","Neutral","0.9145","Neutral"
"Microsoft Tests Mythos to Identify and Mitigate Vulnerabilities","Neutral","0.856","Somewhat-Bullish"
"5 Challenges Apple's New CEO John Ternus Will Face","Neutral","0.9139","Neutral"
"Penn Davis Mcfarland Cuts Alphabet Class A Stake Sharply","Negative","0.6761","Somewhat-Bearish"
"Manitou Investment Management Trims Alphabet Class A Stake","Negative","0.4859","Neutral"
"Salesforce and Google partner on agentic cross-platform collaboration","Neutral","0.8502","Bullish"
"Today’s Market Recap: Nasdaq Hits Record High as Tech Rallies on AI Growth; Tesla Q1 Beats Estimates Amid Spending Surge","Positive","0.9349","Bullish"
"Does Zscaler's (ZS) EVP Exit Reshape Its AI Security Strategy Or Reinforce Its Zero Trust Focus?","Neutral","0.7465","Somewhat-Bullish"
"Q&A: MIT's top 10 AI trends to watch this year","Neutral","0.8762","Neutral"
"Texas Announces Probe of Music Streaming Platforms. Spotify Stock Whipsaws.","Neutral","0.644","Somewhat-Bearish"
"Tim Cook Regrets Maps Flub, Sees Apple Watch as His Proudest Work","Neutral","0.8946","Neutral"
"Arista Networks Poised to Benefit from Google’s Virgo. The Stock Set a Record.","Positive","0.8477","Bullish"
"5 Challenges Apple's New CEO John Ternus Will Face","Neutral","0.9139","Neutral"
"OGIG Surges 8.4% on Oracle, DoorDash Gains","Positive","0.8831","Bullish"
"Viking Therapeutics to Release Q1 2026 Financial Results and Host Conference Call","Neutral","0.9392","Neutral"
"Cantor Fitzgerald Reiterates an Overweight Rating on Riot Platforms (RIOT) on Global AI Proliferation","Neutral","0.9057","Somewhat-Bullish"
"Microsoft Tests Mythos to Identify and Mitigate Vulnerabilities","Neutral","0.856","Bullish"
"Brookfield Corporation Class A Limited Voting Shares (NY: BN)","Neutral","0.946","Somewhat-Bullish"
"OGIG Surges 8.4% on Oracle, DoorDash Gains","Positive","0.8831","Bullish"
"Berkshire Hathaway Is Selling Down These 4 Positions. Here's What That Means for Investors","Neutral","0.8081","Neutral"
"News | Mother's Day spending could hit record; Architecture billings mark three-year high; Best Buy names next CEO","Positive","0.6615","Neutral"
"Best Buy's Sales and Stock Are Sluggish. Can a New CEO Bring Back Growth?","Neutral","0.5852","Neutral"
"5 Challenges Apple's New CEO John Ternus Will Face","Neutral","0.9139","Neutral"
"[Form 4] Meta Platforms, Inc. Insider Trading Activity","Neutral","0.881","Neutral"
"Assessing Charles River Laboratories (CRL) Valuation After Recent Share Price Rebound","Neutral","0.9293","Neutral"
"CoreWeave Inc Stock (CRWV) Moved Up by 7.68% on Apr 22: Facts Behind the Movement","Positive","0.9304","Somewhat-Bullish"
"Chegg and Snap Stocks Trade Up, What You Need To Know","Neutral","0.9105","Somewhat-Bullish"
"ARM Stock Hits All-Time High: What's Really Driving Wednesday's Surge? - ARM Holdings (NASDAQ:ARM)","Neutral","0.8785","Bullish"
"Trump media company replaces ex-congressman Nunes as CEO after stock plunge that wiped out billions","Negative","0.8477","Somewhat-Bearish"
"Why Arm Holdings Stock Is Quietly Breaking Out","Neutral","0.6905","Somewhat-Bullish"
"Universal Beteiligungs und Servicegesellschaft mbH Increases Holdings in The Walt Disney Company $DIS","Positive","0.9093","Neutral"
"Jones Kertz & Associates Inc. Buys Shares of 4,540 Invesco QQQ $QQQ","Neutral","0.9133","Somewhat-Bullish"
